source_id,target_id,target_type,relation_type,description
122/nh-qđ_6,122/nh-qđ_15,ARTICLE,GUIDE,
122/nh-qđ_6,122/nh-qđ_16,ARTICLE,GUIDE,
122/nh-qđ_6,122/nh-qđ_17,ARTICLE,GUIDE,
122/nh-qđ_6,122/nh-qđ_18,ARTICLE,GUIDE,
10/tt-lb,10/tt-lb_1,ARTICLE,CONTAIN,
10/tt-lb,10/tt-lb_2,ARTICLE,CONTAIN,
10/tt-lb,10/tt-lb_3,ARTICLE,CONTAIN,
10/tt-lb,10/tt-lb_4,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_1,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_2,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_3,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_4,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_5,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_6,ARTICLE,CONTAIN,
16/tt-lb,16/tt-lb_7,ARTICLE,CONTAIN,
259-cp,259-cp_1,ARTICLE,CONTAIN,
259-cp,259-cp_2,ARTICLE,CONTAIN,
259-cp,259-cp_3,ARTICLE,CONTAIN,
259-cp,259-cp_4,ARTICLE,CONTAIN,
224-cp,224-cp_1,ARTICLE,CONTAIN,
224-cp,224-cp_2,ARTICLE,CONTAIN,
224-cp,224-cp_3,ARTICLE,CONTAIN,
224-cp,224-cp_4,ARTICLE,CONTAIN,
224-cp,224-cp_5,ARTICLE,CONTAIN,
26/tt-lb,26/tt-lb_1,ARTICLE,CONTAIN,
26/tt-lb,26/tt-lb_2,ARTICLE,CONTAIN,
26/tt-lb,26/tt-lb_3,ARTICLE,CONTAIN,
26/tt-lb,26/tt-lb_4,ARTICLE,CONTAIN,
26/tt-lb_4,26/tt-lb_1,ARTICLE,GUIDE,
26/tt-lb,26/tt-lb_5,ARTICLE,CONTAIN,
26/tt-lb_5,26/tt-lb_1,ARTICLE,GUIDE,
140/2000/qđ-ttg,140/2000/qđ-ttg_1,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_2,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_3,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_4,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_5,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_6,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_7,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_8,ARTICLE,CONTAIN,
140/2000/qđ-ttg,140/2000/qđ-ttg_9,ARTICLE,CONTAIN,
466/2000/qđ-nhnn1,466/2000/qđ-nhnn1_1,ARTICLE,CONTAIN,
466/2000/qđ-nhnn1,466/2000/qđ-nhnn1_2,ARTICLE,CONTAIN,
466/2000/qđ-nhnn1,466/2000/qđ-nhnn1_3,ARTICLE,CONTAIN,
